ID
    US10787400B2
citation_exist
    Patent Citations (518)
citation_infor
520
    Publication number,Priority date,Publication date,Assignee,Title
    WO2004103936A1,2003-05-22,2004-12-02,Innovene Europe Limited,Process for the production of olefins
    US20040242940A1,2003-05-28,2004-12-02,Kenta Takahashi,Process for producing hydroxyl group-containing compound
    US6841708B1,1999-03-12,2005-01-11,Vinnolit Technologie Gmbh & Co.,Method of producing ethylene (di)chloride (EDC)
    US20050065392A1,2003-09-23,2005-03-24,Synfuels International, Inc.,Process for the conversion of natural gas to reactive gaseous products comprising ethylene
    US20050065391A1,2003-09-23,2005-03-24,Synfuels International, Inc.,Process for the conversion of natural gas to hydrocarbon liquids
    US6891001B2,2000-04-06,2005-05-10,Bp Chemicals Limited,Process for the gas phase polymerization of olefins
    US20050107650A1,2003-11-18,2005-05-19,Charles Sumner,Production of propylene from steam cracking of hydrocarbons, particularly ethane
    JP2005161225A,2003-12-03,2005-06-23,Nissan Motor Co Ltd,Catalyst for purifying exhaust gas
    US6914165B2,2001-04-12,2005-07-05,Snamprogetti S.P.A.,Process for obtaining a “diesel cut” fuel by the oligomerization of olefins or their mixtures
    US20050154228A1,2002-02-27,2005-07-14,Hidehiko Nakajima,Method and apparatus for controlling feed of gaseous reaction component
    WO2005067683A2,2004-01-05,2005-07-28,Board Of Regents, The University Of Texas System,Inorganic nanowires
    US20050239634A1,2004-04-23,2005-10-27,Ying Jackie Y,Mesostructured zeolitic materials, and methods of making and using the same
    US6964934B2,2002-08-28,2005-11-15,Albemarle Netherlands B.V.,Process for the preparation of doped pentasil-type zeolite using doped seeds
    US20060018821A1,2003-08-26,2006-01-26,Matsushita Electric Industrial Co., Ltd.,Method for manufacturing manganese oxide nanostructure and oxygen reduction electrode using said manganese oxide nanostructure
    EP1632467A1,2004-09-06,2006-03-08,Research Institute of Petroleum Industry,Improved catalyst for direct conversion of methane to ethane and ethylene
    US20060063955A1,2004-07-15,2006-03-23,Sylvie Lacombe,Process for oligomerizing olefins using a silica-alumina based catalyst
    US7093445B2,2002-05-31,2006-08-22,Catalytica Energy Systems, Inc.,Fuel-air premixing system for a catalytic combustor
    US20060194995A1,2005-02-28,2006-08-31,Umansky Benjamin S,Gasoline production by olefin polymerization with aromatics alkylation
    US7105147B2,2000-09-20,2006-09-12,Teïkokuoil Co., Ltd.,Method for partial oxidation of methane using dense, oxygen selective permeation ceramic membrane
    US20060235246A1,2004-08-05,2006-10-19,Catalytic Distillation Technologies,Etherification process
    US7129195B2,2001-01-15,2006-10-31,Basf Aktiengesellschaft,Heterogenically catalysed gas-phase partial oxidation method for precursor compounds of (meth)acrylic acid
    US20060283780A1,2004-09-01,2006-12-21,Sud-Chemie Inc.,,Desulfurization system and method for desulfurizing a fuel stream
    US7157612B2,1997-10-14,2007-01-02,Phillips Petroleum Company,Olefin production process
    US7164052B2,1999-06-24,2007-01-16,Eni S.P.A.,Catalytic composition for the aromatization of hydrocarbons
    US20070027030A1,2005-07-27,2007-02-01,Chevron Phillips Chemical Company Lp,Selective hydrogenation catalyst and methods of making and using same
    EP1749807A1,2005-08-02,2007-02-07,Linde AG,Method for producing linear alpha-olefins with improved product distribution
    US7176342B2,2000-02-03,2007-02-13,Enitecnologie S.P.A.,Method for the preparation of hydrogenated hydrocarbons
    US7196238B2,2003-03-10,2007-03-27,Fortum Oyj,Process for dimerizing light olefins
    US7199273B2,2003-11-24,2007-04-03,Exxonmobil Chemical Patents, Inc.,Selective hydrogenation of alkynes and/or diolefins
    US20070083073A1,2005-09-02,2007-04-12,Ebrahim Bagherzadeh,Catalyst and method for converting low molecular weight paraffinic hydrocarbons into alkenes and organic compounds with carbon numbers of 2 or more
    US7214841B2,2003-07-15,2007-05-08,Abb Lummus Global Inc.,Processing C4 olefin streams for the maximum production of propylene
    US20070112236A1,2005-11-16,2007-05-17,Bridges Robert S,Integrated cracking and metathesis process
    WO2007125360A1,2006-04-27,2007-11-08,Compactgtl Plc,Process for preparing liquid hydrocarbons
    WO2007130515A2,2006-05-02,2007-11-15,Dow Global Technologies Inc.,High-density polyethylene compositions, method of making the same, articles made therefrom, and method of making such articles
    US7316804B2,2001-08-02,2008-01-08,Ineos Usa Llc,Flow reactors for chemical conversions with heterogeneous catalysts
    WO2008005055A2,2005-12-29,2008-01-10,The Board Of Trustees Of The University Of Illinois,Nanoparticles containing titanium oxide
    WO2008014841A1,2006-07-31,2008-02-07,Saudi Basic Industries Corporation,Process and plant for oligomerization/polymerization of ethylene and/or alpha-olefins
    WO2008022147A1,2006-08-14,2008-02-21,Mayo Foundation For Medical Education And Research,Rare earth nanoparticles
    US7361622B2,2005-11-08,2008-04-22,Rohm And Haas Company,Multi-staged catalyst systems and process for converting alkanes to alkenes and to their corresponding oxygenated products
    US20080121383A1,2006-11-24,2008-05-29,Carsten Birk,Heat exchanger for cooling reaction gas
    US20080138274A1,2006-12-07,2008-06-12,Rive Technology, Inc.,Methods for making mesostructured zeolitic materials
    US20080141713A1,2006-12-16,2008-06-19,Kellogg Brown & Root Llc,Advanced C2-splitter feed rectifier
    WO2008073143A2,2006-06-21,2008-06-19,Cambrios Technologies Corporation,Methods of controlling nanostructure formations and shapes
    US20080154078A1,2006-12-21,2008-06-26,Bozzano Andrea G,Oxygenate conversion to olefins with dimerization and metathesis
    CN101224432A,2008-02-03,2008-07-23,山东省科学院能源研究所,Integral supported carbon molecular sieve catalyst, preparing method and applications thereof
    EP1749806B1,2005-07-29,2008-10-15,Linde AG,Method for preparing linear alpha-olefins with improved heat removal
    US20080267852A1,2005-12-23,2008-10-30,Evonik Degussa Gmbh,Process for Preparing Pulverulent Solids
    US20080275143A1,2003-03-16,2008-11-06,Kellogg Brown & Root Llc,Catalytic Partial Oxidation Reforming for Syngas Processing and Products Made Therefrom
    US20080281136A1,2007-04-25,2008-11-13,Hrd Corp.,Catalyst and method for converting natural gas to higher carbon compounds
    US20080293980A1,2005-10-28,2008-11-27,Frank Kiesslich,Method for the Synthesis of Aromatic Hydrocarbons From C1-C4-Alkanes and Utilization of C1-C4-Alkane-Comprising Product Stream
    WO2008150451A2,2007-05-30,2008-12-11,Velocys, Inc.,Oxidative coupling of methane
    US7473814B2,2002-06-10,2009-01-06,Bp Chemicals Limited,Process for converting methane into ethane
    US7485595B2,2003-05-30,2009-02-03,China Petroleum & Chemical Corporation,Molecular sieve-containing catalyst for cracking hydrocarbons and a method for preparing the same
    US20090042998A1                      *,2007-08-03,2009-02-12,Daiki Ataka Engineering Co., Ltd.,Catalyst for methanation of carbon oxides, preparation method of the catalyst and process for the methanation
    CN101387019A,2008-10-24,2009-03-18,上海应用技术学院,Method for preparing mesoporous silica molecular sieve fiber
    US20090087496A1,2006-06-13,2009-04-02,Evonik Degussa Gmbh,Process for preparing mixed metal oxide powders
    US20090110631A1,2007-10-25,2009-04-30,Rive Technology, Inc.,Methods of recovery of pore-forming agents for mesostructured materials
    WO2009071463A2,2007-12-03,2009-06-11,Basf Se,Oxidative methane coupling via membrane reactor
    US7547813B2,2004-04-29,2009-06-16,Basf Catalysts Llc,ZSM-5 additive
    WO2009074203A1,2007-12-12,2009-06-18,Linde Ag,Catalyst composition for oligomerization of ethylene oligomerization process and method for its preparation
    US7550644B2,2004-05-10,2009-06-23,Precision Combustion, Inc.,Isobutane alkylation
    US7566428B2,2005-03-11,2009-07-28,Saint-Gobain Ceramics & Plastics, Inc.,Bed support media
    US20090203946A1,2008-02-13,2009-08-13,Karl Chuang,Process for making higher olefins
    US20090202427A1,2006-06-13,2009-08-13,Evonik Degussa Gmbh,Process for preparing mixed metal oxide powders
    US7576296B2,1995-03-14,2009-08-18,Battelle Energy Alliance, Llc,Thermal synthesis apparatus
    US20090209794A1,2008-02-18,2009-08-20,Ann Marie Lauritzen,Process for the conversion of ethane to aromatic hydrocarbons
    US20090209412A1,2005-10-07,2009-08-20,Alliance For Sustainable Energy, Llc,Attrition Resistant Fluidizable Reforming Catalyst
    US7579509B2,2004-06-17,2009-08-25,Uhde Gmbh,Method and device for producing 1,2-dichlorethane by means of direct chlorination
    US20090216059A1,2008-02-21,2009-08-27,Reyes Sebastian C,Separation of methane from higher carbon number hydrocarbons utilizing zeolitic imidazolate framework materials
    US7589246B2,2007-04-04,2009-09-15,Exxonmobil Chemical Patents Inc.,Production of aromatics from methane
    WO2009115805A1,2008-03-20,2009-09-24,Bp Oil International Limited,Process for converting methane into ethane in a membrane reactor
    US20090259076A1,2008-04-09,2009-10-15,Simmons Wayne W,Process for converting a carbonaceous material to methane, methanol and/or dimethyl ether using microchannel process technology
    US20090264693A1,2006-08-31,2009-10-22,China Petroleum & Chemical Corporation,Process for the catalytic conversion of hydrocarbons
    US20090267852A1,2008-04-29,2009-10-29,Tahmisian Jr Theodore N,Small Aperture Interrogator Antenna System Employing Sum Difference Azimuth Discrimination Techniques
    US20090277837A1,2008-05-06,2009-11-12,Chunqing Liu,Fluoropolymer Coated Membranes
    US20090312583A1,2006-06-07,2009-12-17,Basf Se,Process for codimerizing olefins
    US20100000153A1,2008-07-07,2010-01-07,Kyrogen Usa, Llc,Remote micro-scale gtl products for uses in oil- and gas-field and pipeline applications
    US20100003179A1,2006-06-13,2010-01-07,Evonik Degussa Gmbh,Process for preparing metal oxide powders
    US20100028735A1,2006-12-19,2010-02-04,Bp Oil International Limited,Process for converting methane into a higher alkane mixture
    US7659437B2,2006-04-21,2010-02-09,Exxonmobil Chemical Patents Inc.,Process for methane conversion
    US7663011B2,1999-09-07,2010-02-16,Lummus Technology Inc.,Mesoporous material with active metals
    US7671244B2,2004-12-22,2010-03-02,Uhde Gmbh,Method for producing 1,2-dichloroethane by means of direct chlorination
    US7683227B2,2004-12-22,2010-03-23,Exxonmobil Chemical Patents Inc.,Production of aromatic hydrocarbons from methane
    US7687041B2,2008-02-27,2010-03-30,Kellogg Brown & Root Llc,Apparatus and methods for urea production
    US7687048B1,2006-09-28,2010-03-30,Uop Llc,Amine treatment in light olefin processing
    US7728186B2,2006-04-21,2010-06-01,Exxonmobil Chemical Patents Inc.,Production of aromatics from methane
    CN101747927A,2009-12-31,2010-06-23,南京石油化工股份有限公司,Coke inhibitor for ethylene cracking
    WO2010069488A1,2008-12-20,2010-06-24,Bayer Technology Services Gmbh,Method for oxidative coupling of methane and producing syngas
    US20100185034A1,2007-08-03,2010-07-22,Mitsui Chemicals , Inc,Process for  producing aromatic hydrocarbon
    US20100191031A1,2009-01-26,2010-07-29,Kandasamy Meenakshi Sundaram,Adiabatic reactor to produce olefins
    US20100197986A1,2007-09-18,2010-08-05,Hideo Midorikawa,Propylene production process
    US20100197482A1,2007-10-03,2010-08-05,Jean-Marie Basset,Solid metal compound, preparations and uses thereof
    US7781636B2,2006-04-21,2010-08-24,Exxonmobil Chemical Patents Inc.,Process for methane conversion
    US20100222203A1,2006-01-20,2010-09-02,Toyota Jidosha Kabushiki Kaisha,Production method for propylene, restoration method for catalyst, and solid acid catalyst
    US7790776B2,2005-09-02,2010-09-07,Haldor Topsoe A/S,Process and catalyst for hydrogenation of carbon oxides
    US7790012B2,2008-12-23,2010-09-07,Calera Corporation,Low energy electrochemical hydroxide system and method
    US7795490B2,2006-04-21,2010-09-14,Exxonmobil Chemical Patents Inc.,Production of aromatics from methane
    US7799730B2,2005-04-27,2010-09-21,Sud-Chemie Ag,Catalyst support
    US7799209B2,2007-06-29,2010-09-21,Uop Llc,Process for recovering power from FCC product
    US20100249473A1,2009-03-31,2010-09-30,Fina Technology, Inc.,Oxidative Coupling of Hydrocarbons as Heat Source
    US7838710B2,2004-10-20,2010-11-23,Catalytic Distillation Technologies,Selective hydrogenation process and catalyst
    US20100331593A1,2009-06-29,2010-12-30,Fina Technology, Inc.,Process for the Oxidative Coupling of Hydrocarbons
    US20100331595A1,2009-06-29,2010-12-30,Fina Technology, Inc.,Process for the Oxidative Coupling of Methane
    US20100331174A1,2009-06-29,2010-12-30,Fina Technology, Inc.,Catalysts for Oxidative Coupling of Hydrocarbons
    US7868216B2,2004-12-27,2011-01-11,IFP Energies Nouvelles,Production of propylene employing dimerising ethylene to 1-butene, hydroisomerization to 2-butene and metathesis by ethylene
    CA2765769A1,2009-07-24,2011-01-27,Linde Ag,Method for preparing linear alpha-olefins
    US7879119B2,2007-07-20,2011-02-01,Kellogg Brown & Root Llc,Heat integration and condensate treatment in a shift feed gas saturator
    US7888541B2,2005-04-15,2011-02-15,Catalytic Distillation Technologies,Double bond hydroisomerization of butenes
    US20110036728A1,2008-12-23,2011-02-17,Calera Corporation,Low-energy electrochemical proton transfer system and method
    RU2412147C2,2005-10-20,2011-02-20,Линде Акциенгезельшафт,Method of recuperating hydrogen and methane from cracking gas stream in low temperature part of ethylene synthesis apparatus
    US20110052466A1,2009-05-21,2011-03-03,Battelle Memorial Institute,Catalyzed co2-transport membrane on high surface area inorganic support
    US20110049132A1,2009-08-27,2011-03-03,Korea University Research And Business Foundation,Resistive heating device for fabrication of nanostructures
    US20110071331A1,2007-06-12,2011-03-24,Jean-Marie Basset,Process for converting ethane into liquid alkane mixtures
    WO2011041184A2,2009-09-30,2011-04-07,Exxonmobil Chemical Patents Inc.,Production of aromatics from methane
    WO2011050359A1,2009-10-23,2011-04-28,Massachusetts Institute Of Technology,Biotemplated inorganic materials
    CN102093157A,2009-12-09,2011-06-15,中国科学院兰州化学物理研究所,Joint process for preparing ethylene and synthesis gas by direct conversion of methane
    US7968020B2,2008-04-30,2011-06-28,Kellogg Brown & Root Llc,Hot asphalt cooling and pelletization process
    US20110160508A1,2008-05-21,2011-06-30,Ding Ma,Production of aromatics from methane
    US7977519B2,2006-04-21,2011-07-12,Exxonmobil Chemical Patents Inc.,Production of aromatic hydrocarbons from methane
    US20110171121A1,2010-01-08,2011-07-14,Rive Technology, Inc.,Compositions and methods for making stabilized mesoporous materials
    CN102125825A,2010-12-02,2011-07-20,河北工业大学,Preparation method of ZrO2 nanotube supported B2O3 catalyst
    US20110189559A1,2008-07-03,2011-08-04,Oxiteno S.A. Indústria E Comércio,Method for the production of light hydrocarbons from gas with high methane content, a solid fuel cell used for the production of light hydrocarbons from gas with high methane content, and a catalyst for the production of light hydrocarbons from gas with high methane content
    US7993599B2,2006-03-03,2011-08-09,Zeropoint Clean Tech, Inc.,Method for enhancing catalyst selectivity
    US7993500B2,2008-07-16,2011-08-09,Calera Corporation,Gas diffusion anode and CO2 cathode electrolyte system
    US8021620B2,2009-03-31,2011-09-20,Uop Llc,Apparatus for oligomerizing dilute ethylene
    US20110230690A1,2007-08-24,2011-09-22,Marja Tiita,Process for oligomerizing olefins
    US20110257454A1,2010-04-20,2011-10-20,Fina Technology, Inc.,Use of an Additive in the Coupling of Toluene with a Carbon Source
    US20110257453A1,2010-04-20,2011-10-20,Fina Technology, Inc.,Reactors and Processes for the Oxidative Coupling of Hydrocarbons
    US20110263917A1,2010-04-26,2011-10-27,Saudi Basic Industries Corporation,Process for Producing Propylene and Aromatics from Butenes by Metathesis and Aromatization
    WO2011149996A2,2010-05-24,2011-12-01,Siluria Technologies, Inc.,Nanowire catalysts
    US8071836B2,2008-03-13,2011-12-06,Fina Technology, Inc.,Process for toluene and methane coupling in a microreactor
    US20110315012A1,2010-06-29,2011-12-29,Steven Mitchell Kuznicki,Removal of ethane from natural gas at high pressure
    US20120006054A1,2010-07-09,2012-01-12,Arnold Keller,Carbon dioxide capture and liquefaction
    US8119848B2,2008-10-01,2012-02-21,Catalytic Distillation Technologies,Preparation of alkylation feed
    US20120065412A1,2009-05-20,2012-03-15,Basf Se,System and process for producing higher-value hydrocarbons from methane
    US8137444B2,2009-03-10,2012-03-20,Calera Corporation,Systems and methods for processing CO2
    US8153851B2,2008-08-12,2012-04-10,Lummus Technology Inc.,Integrated propylene production
    RU2447048C1,2010-10-14,2012-04-10,Закрытое акционерное общество "ШАГ",Combined method of producing ethylene and derivatives thereof and electrical energy from natural gas
    WO2012047274A2,2010-10-06,2012-04-12,Exelus, Inc.,Production of a high octane alkylate from ethylene and isobutane
    US20120095275A1,2010-10-13,2012-04-19,Lyondell Chemical Technology, L.P.,Production of 1-Butene and Propylene From Ethylene
    US8163070B2,2008-08-01,2012-04-24,Wolfgang Georg Hees,Method and system for extracting carbon dioxide by anti-sublimation at raised pressure
    US20120129690A1,2010-11-16,2012-05-24,Rhodia Operations,Porous inorganic composite oxide
    US20120172648A1,2011-01-05,2012-07-05,The Board Of Trustees Of The University Of Illinois,Defect engineering in metal oxides via surfaces
    US8227650B2,2005-02-01,2012-07-24,Catalytic Distillation Technologies,Process and catalyst for selective hydrogenation of dienes and acetylenes
    US20120197053A1,2010-09-21,2012-08-02,Synfuels International., Inc.,System and method for the production of liquid fuels
    US20120202986A1,2009-02-20,2012-08-09,H R D Corporation,System and method for gas reaction
    US20120198769A1,2009-06-30,2012-08-09,Steffen Schirrmeister,Catalyst-coated support, method for the production thereof, a reactor equipped therewith, and use thereof
    US20120204716A1,2009-08-31,2012-08-16,Borsig Process Heat Exchanger Gmbh,Ceramic membrane having a catalytic membrane-material coating
    US20120215045A1,2011-02-22,2012-08-23,Fina Technology, Inc.,Staged Injection of Oxygen for Oxidative Coupling or Dehydrogenation Reactions
    US20120222422A1,2011-03-02,2012-09-06,Aither Chemicals, LLC.,Methods for integrated natural gas purification and products produced therefrom
    US8269055B2,2005-07-29,2012-09-18,Saudi Basic Industries Corporation,Method for deactivation of an organometallic catalyst and reactor system therefor
    US8277525B2,2003-02-07,2012-10-02,Dalton Robert C,High energy transport gas and method to transport same
    US20120258852A1,2011-04-08,2012-10-11,Rive Technology, Inc.,Mesoporous framework-modified zeolites
    US8293805B2,2008-05-29,2012-10-23,Schlumberger Technology Corporation,Tracking feedstock production with micro scale gas-to-liquid units
    US20120277474A1,2009-12-15,2012-11-01,Lucite International Uk Limited,Continuous process for the carbonylation of ethylene
    WO2012162526A2,2011-05-24,2012-11-29,Siluria Technologies, Inc.,Catalysts for petrochemical catalysis
    US20130023708A1,2011-07-19,2013-01-24,Uop Llc,Processes for making cx-cy olefins from c5 and c6 paraffins
    US20130023079A1,2011-07-20,2013-01-24,Sang Won Kang,Fabrication of light emitting diodes (leds) using a degas process
    US20130025201A1,2003-02-07,2013-01-31,Dalton Robert C,High energy transport gas and method to transport same
    DE102011080294A1,2011-08-02,2013-02-07,Technische Universität Berlin,Process for the oxidative conversion of gaseous alkanes in a fluidized bed membrane reactor and a reactor for carrying out this process
    US20130040806A1,2010-06-24,2013-02-14,Rutgers, The State University Of New Jersey,Spinel catalysts for water and hydrocarbon oxidation
    US20130042480A1,2010-05-10,2013-02-21,Autoprod Oy,Method and Apparatus for Manufacturing a Wooden Construction Made of Rod-Like Members
    US8399527B1,2009-03-17,2013-03-19,Louisiana Tech University Research Foundation; A Division Of Louisiana Tech University Foundation, Inc.,Bound cobalt nanowires for Fischer-Tropsch synthesis
    US8404189B2,2007-12-14,2013-03-26,Dow Technology Investments Llc,Oxygen/hydrocarbon rapid (high shear) gas mixer, particularly for the production of ethylene oxide
    US8435920B2,2006-09-21,2013-05-07,Eltron Research & Development, Inc.,Cyclic catalytic upgrading of chemical species using metal oxide materials
    US20130158322A1,2011-11-29,2013-06-20,Siluria Technologies, Inc.,Polymer templated nanowire catalysts
    US20130172649A1,2011-12-30,2013-07-04,Sivadinarayana Chinta,Supported nano sized zeolite catalyst for alkylation reactions
    US20130178680A1,2012-01-11,2013-07-11,Korea Institute Of Science And Technology,Catalyst for oxidative coupling of methane, method for preparing the same, and method for oxidative coupling reaction of methane using the same
    WO2013106771A2,2012-01-13,2013-07-18,Siluria Technologies, Inc.,Process for separating hydrocarbon compounds
    US20130183231A1,2012-01-13,2013-07-18,Rive Technology, Inc.,Introduction of mesoporosity into zeolite materials with sequential acid, surfactant, and base treatment
    US20130225880A1,2009-09-03,2013-08-29,Christopher Brown,Adsorption process for the dehydration of alcohol
    US8524625B2,2009-01-19,2013-09-03,Rive Technology, Inc.,Compositions and methods for improving the hydrothermal stability of mesostructured zeolites by rare earth ion exchange
    US20130253248A1,2012-02-03,2013-09-26,Siluria Technologies, Inc.,Method for isolation of nanomaterials
    US8557728B2,2008-09-12,2013-10-15,Johnson Matthey Plc,Shaped heterogeneous catalysts
    US20130270180A1,2010-10-28,2013-10-17,Novarials Corporation,Ceramic nanowire membranes and methods of making the same
    US20130289324A1,2010-12-24,2013-10-31,Geoffrey L. Price,Production of aromatics from renewable resources
    US8575410B2,2009-03-31,2013-11-05,Uop Llc,Process for oligomerizing dilute ethylene
    US20130291720A1,2010-12-17,2013-11-07,Univation Technologies, Llc,Systems and Methods for Recovering Hydrocarbons From a Polyolefin Purge Gas Product
    US20130292300A1,2004-04-23,2013-11-07,Massachusetts Institute Of Technology,Mesostructured zeolitic materials suitable for use in hydrocracking catalyst compositions and methods of making and using the same
    WO2013169462A1,2012-05-07,2013-11-14,Exxonmobil Chemical Patents Inc.,Process for the production of xylenes and light olefins
    WO2013175204A1,2012-05-21,2013-11-28,Ingen Gtl Limited,Oligomerisation of olefins for the production of synthetic fuel
    WO2013177461A2,2012-05-24,2013-11-28,Siluria Technologies, Inc.,Catalytic forms and formulations
    WO2013177433A2,2012-05-24,2013-11-28,Siluria Technologies, Inc.,Oxidative coupling of methane systems and methods
    US8624042B2,2010-05-18,2014-01-07,IFP Energies Nouvelles,Process for dimerization of ethylene to but-1-ene using a composition comprising a titanium-based complex and an alkoxy ligand functionalized by a heteroatom
    US20140012053A1,2012-07-09,2014-01-09,Siluria Technologies, Inc.,Natural gas processing and systems
    US8658750B2,2010-03-09,2014-02-25,Exxonmobil Chemical Patents Inc.,System and method for selective trimerization
    US20140061540A1,2011-03-07,2014-03-06,The Regents Of The University Of California,Metal-organic framework adsorbents for composite gas separation
    US8669171B2,2010-09-22,2014-03-11,Commissariat a l'Energie Atmoique et aux Energies Alternatives,Method for eliminating the metal catalyst residues on the surface of wires produced by catalytic growth
    US20140080699A1,2012-08-20,2014-03-20,Ranjita Ghose,Catalysts for oxidative coupling of methane and solution combustion method for the production of the same
    WO2014044387A1,2012-09-20,2014-03-27,Linde Aktiengesellschaft,Plant and method for producing ethylene
    WO2014049445A2,2012-09-28,2014-04-03,Aditya Birla Science And Technology Company Limited,Methods and compositions for desulfurization of compositions
    US20140128485A1,2012-11-06,2014-05-08,H R D Corporation,Reactor and catalyst for converting natural gas to organic compounds
    US20140128484A1,2012-11-06,2014-05-08,H R D Corporation,Converting natural gas to organic compounds
    US20140135552A1,2012-11-12,2014-05-15,Uop Llc,Process for making diesel by oligomerization
    US20140135554A1,2012-11-12,2014-05-15,Uop Llc,Process for making diesel by oligomerization of gasoline
    US20140135553A1,2012-11-12,2014-05-15,Uop Llc,Process for recycling oligomerate to oligomerization
    US8742192B2,2005-06-17,2014-06-03,Exxonmobil Chemical Patents Inc.,Oligomerisation of olefins with zeolite catalyst
    US8742189B2,2008-04-08,2014-06-03,Basf Se,Catalyst for the dehydroaromatisation of methane and mixtures containing methane
    US8748681B2,2009-03-31,2014-06-10,Uop Llc,Process for oligomerizing dilute ethylene
    WO2014089479A1,2012-12-07,2014-06-12,Siluria Technologies, Inc.,Integrated processes and systems for conversion of methane to multiple higher hydrocarbon products
    US8759598B2,2009-05-08,2014-06-24,Mitsubishi Chemical Corporation,Production process of propylene
    US20140181877A1,2012-12-20,2014-06-26,Hulu, LLC,Device Activation Using Encoded Representation
    US8765660B1,2013-03-08,2014-07-01,Rive Technology, Inc.,Separation of surfactants from polar solids
    US20140194664A1,2013-01-10,2014-07-10,Gary A. Sawyer,Ethylene separation process
    US20140235911A1,2011-07-21,2014-08-21,Saudi Basic Industries Corporation,Catalyst for the preparation of aromatic hydrocarbons and use thereof
    US20140249339A1,2013-03-04,2014-09-04,Nova Chemicals (International) S.A.,Complex comprising oxidative dehydrogenation unit
    WO2014131435A1,2013-02-27,2014-09-04,Haldor Topsøe A/S,Reactor for an auto-poisoning proces
    WO2014143880A1,2013-03-15,2014-09-18,Siluria Technologies, Inc.,Catalysts for petrochemical catalysis
    US20140275619A1,2013-03-15,2014-09-18,Celanese International Corporation,Process for Producing Acetic Acid and/or Ethanol By Methane Oxidation
    US8865780B2,2010-07-09,2014-10-21,Haldor Topsoe A/S,Process for converting biogas to a gas rich in methane
    US8912109B2,2008-12-29,2014-12-16,Fina Technology, Inc.,Catalyst with an ion-modified binder
    US20140377137A1,2009-09-11,2014-12-25,Total Research & Technology Feluy,System for recycling product streams separated from a hydrocarbon-containing feed stream
    US20140378728A1,2013-06-25,2014-12-25,Exxonmobil Chemical Patents Inc.,Hydrocarbon Conversion
    WO2015003193A2,2013-06-14,2015-01-08,University Of Pretoria,Apparatus for endothermic reactions
    WO2015000061A1,2013-07-04,2015-01-08,Nexen Energy Ulc,Olefins reduction of a hydrocarbon feed using olefins- aromatics alkylation
    US20150010467A1,2012-01-20,2015-01-08,Nippon Steel & Sumitomo Metal Corporation,Continuous fixed-bed catalytic reactor and catalytic reaction method using same
    US20150038750A1,2013-07-31,2015-02-05,Calera Corporation,Electrochemical hydroxide systems and methods using metal oxidation
    WO2015021177A1,2013-08-06,2015-02-12,Massachusetts Institute Of Technology,Production of non-sintered transition metal carbide nanoparticles
    US20150045599A1,2012-11-12,2015-02-12,Uop Llc,Methods for producing jet-range hydrocarbons
    US20150065767A1,2013-08-30,2015-03-05,Exxonmobil Chemical Patents Inc.,Catalytic Alkane Conversion and Olefin Separation
    US8993473B2,2008-10-20,2015-03-31,Huntsman Petrochemical Llc,Modified trilobe shape for maleic anhydride catalyst
    WO2015048295A1,2013-09-25,2015-04-02,Avery Dennison Corporation,Tamper evident security labels
    US20150099914A1,2012-04-23,2015-04-09,Shell Oil Company,Process for the aromatization of a methane-containing gas stream
    WO2015066693A1,2013-11-04,2015-05-07,The Regents Of Thd University Of California,Metal-organic frameworks with a high density of highly charged exposed metal cation sites
    US20150152025A1,2013-11-27,2015-06-04,Siluria Technologies, Inc.,Reactors and systems for oxidative coupling of methane
    WO2015105911A1,2014-01-08,2015-07-16,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    WO2015106023A1,2014-01-09,2015-07-16,Siluria Technologies, Inc.,Oxidative coupling of methane implementations for olefin production
    US20150218786A1,2014-01-08,2015-08-06,Saundra Sue CULLEN,Sink insert with cleaning surface
    US20150314267A1,2014-05-02,2015-11-05,Siluria Technologies, Inc.,Heterogeneous catalysts
    US20150376527A1,2013-02-21,2015-12-31,Jianguo Xu,Co2 capture from co2-rich natural gas
    WO2016012371A1,2014-07-22,2016-01-28,Haldor Topsøe A/S,Recycle loop in production of hydrocarbons by ocm
    US20160074844A1,2014-09-17,2016-03-17,Silura Technologies, Inc.,Catalysts for natural gas processes
    US20160089637A1,2014-09-25,2016-03-31,Korea Research Institute Of Chemical Technology,Inorganic-organic hybrid nanoporous material with nitrogen selective adsorptivity and method for separating nitrogen-contaning gas mixture using the same
    US9328297B1,2015-06-16,2016-05-03,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    US9334204B1,2015-03-17,2016-05-10,Siluria Technologies, Inc.,Efficient oxidative coupling of methane processes and systems
    US20160167973A1,2014-12-11,2016-06-16,Rive Technology, Inc.,Preparation of mesoporous zeolites with reduced processing
    US20160237003A1,2013-10-16,2016-08-18,Saudi Basic Industries Corporation,Method for converting methane to ethylene
    US9446343B2,2013-07-08,2016-09-20,Exxonmobil Research And Engineering Company,Simulated moving bed system for CO2 separation, and method of same
    WO2016149507A1,2015-03-17,2016-09-22,Siluria Technologies, Inc.,Oxidative coupling of methane methods and systems
    WO2016160563A1,2015-04-01,2016-10-06,Siluria Technologies, Inc.,Advanced oxidative coupling of methane
    EP3081292A1,2015-04-15,2016-10-19,Air Products And Chemicals, Inc.,Perforated adsorbent particles
