ID
    US11286939B2
citation_exist
    Patent Citations (596)
citation_infor
598
    Publication number,Priority date,Publication date,Assignee,Title
    US4989736A,1988-08-30,1991-02-05,Ab Profor,Packing container and blank for use in the manufacture thereof
    US5006232A,1987-06-05,1991-04-09,The Secretary Of State For Defence, In Her Britannic Majesty's Government Of The United Kingdom Of Great Britain And Northern Ireland,Sewage treatment plant
    US5015518A,1985-05-14,1991-05-14,Toyo Carbon Co., Ltd.,Graphite body
    US5025198A,1989-02-24,1991-06-18,The Carborundum Company,Torque coupling system for graphite impeller shafts
    US5028211A,1989-02-24,1991-07-02,The Carborundum Company,Torque coupling system
    US5029821A,1989-12-01,1991-07-09,The Carborundum Company,Apparatus for controlling the magnesium content of molten aluminum
    US5049841A,1990-07-11,1991-09-17,General Electric Company,Electronically reconfigurable digital pad attenuator using segmented field effect transistors
    US5058654A,1990-07-06,1991-10-22,Outboard Marine Corporation,Methods and apparatus for transporting portable furnaces
    US5078572A,1990-01-19,1992-01-07,The Carborundum Company,Molten metal pump with filter
    US5080715A,1990-11-05,1992-01-14,Alcan International Limited,Recovering clean metal and particulates from metal matrix composites
    US5083753A,1990-08-06,1992-01-28,Magneco/Metrel,Tundish barriers containing pressure differential flow increasing devices
    US5088893A,1989-02-24,1992-02-18,The Carborundum Company,Molten metal pump
    US5092821A,1990-01-18,1992-03-03,The Carborundum Company,Drive system for impeller shafts
    US5098134A,1989-01-12,1992-03-24,Monckton Walter J B,Pipe connection unit
    US5099554A,1987-10-07,1992-03-31,James Dewhurst Limited,Method and apparatus for fabric production
    US5114312A,1990-06-15,1992-05-19,Atsco, Inc.,Slurry pump apparatus including fluid housing
    US5126047A,1990-05-07,1992-06-30,The Carborundum Company,Molten metal filter
    US5131632A,1991-10-28,1992-07-21,Olson Darwin B,Quick coupling pipe connecting structure with body-tapered sleeve
    US5135202A,1989-10-14,1992-08-04,Hitachi Metals, Ltd.,Apparatus for melting down chips
    US5143357A,1990-11-19,1992-09-01,The Carborundum Company,Melting metal particles and dispersing gas with vaned impeller
    US5145322A,1991-07-03,1992-09-08,Roy F. Senior, Jr.,Pump bearing overheating detection device and method
    US5152631A,1990-11-29,1992-10-06,Andreas Stihl,Positive-engaging coupling for a portable handheld tool
    US5154652A,1990-08-01,1992-10-13,Ecklesdafer Eric J,Drive shaft coupling
    US5158440A,1990-10-04,1992-10-27,Ingersoll-Rand Company,Integrated centrifugal pump and motor
    US5162858A,1989-12-29,1992-11-10,Canon Kabushiki Kaisha,Cleaning blade and apparatus employing the same
    US5165858A,1989-02-24,1992-11-24,The Carborundum Company,Molten metal pump
    US5172458A,1987-10-07,1992-12-22,James Dewhurst Limited,Method and apparatus for creating an array of weft yarns in manufacturing an open scrim non-woven fabric
    US5177304A,1990-07-24,1993-01-05,Molten Metal Technology, Inc.,Method and system for forming carbon dioxide from carbon-containing materials in a molten bath of immiscible metals
    US5191154A,1991-07-29,1993-03-02,Molten Metal Technology, Inc.,Method and system for controlling chemical reaction in a molten bath
    CA2115929A1,1991-08-21,1993-03-04,Paul V. Cooper,A submersible molten metal pump
    US5192193A,1991-06-21,1993-03-09,Ingersoll-Dresser Pump Company,Impeller for centrifugal pumps
    US5202100A,1991-11-07,1993-04-13,Molten Metal Technology, Inc.,Method for reducing volume of a radioactive composition
    US5209641A,1989-03-29,1993-05-11,Kamyr Ab,Apparatus for fluidizing, degassing and pumping a suspension of fibrous cellulose material
    US5215448A,1991-12-26,1993-06-01,Ingersoll-Dresser Pump Company,Combined boiler feed and condensate pump
    US5268020A,1991-12-13,1993-12-07,Claxton Raymond J,Dual impeller vortex system and method
    US5301620A,1993-04-01,1994-04-12,Molten Metal Technology, Inc.,Reactor and method for disassociating waste
    US5303903A,1992-12-16,1994-04-19,Reynolds Metals Company,Air cooled molten metal pump frame
    US5308045A,1992-09-04,1994-05-03,Cooper Paul V,Scrap melter impeller
    US5318360A,1991-06-03,1994-06-07,Stelzer Ruhrtechnik Gmbh,Gas dispersion stirrer with flow-inducing blades
    US5322547A,1992-05-05,1994-06-21,Molten Metal Technology, Inc.,Method for indirect chemical reduction of metals in waste
    US5354940A,1991-07-29,1994-10-11,Molten Metal Technology, Inc.,Method for controlling chemical reaction in a molten metal bath
    US5364078A,1991-02-19,1994-11-15,Praxair Technology, Inc.,Gas dispersion apparatus for molten aluminum refining
    US5369063A,1986-06-27,1994-11-29,Metaullics Systems Co., L.P.,Molten metal filter medium and method for making same
    US5383651A,1994-02-07,1995-01-24,Pyrotek, Inc.,Aluminum coil annealing tray support pad
    US5388633A,1992-02-13,1995-02-14,The Dow Chemical Company,Method and apparatus for charging metal to a die cast
    US5395405A,1993-04-12,1995-03-07,Molten Metal Technology, Inc.,Method for producing hydrocarbon gas from waste
    US5399074A,1992-09-04,1995-03-21,Kyocera Corporation,Motor driven sealless blood pump
    US5407294A,1993-04-29,1995-04-18,Daido Corporation,Encoder mounting device
    US5411240A,1993-01-26,1995-05-02,Ing. Rauch Fertigungstechnik Gesellschaft M.B.H.,Furnace for delivering a melt to a casting machine
    US5425410A,1994-08-25,1995-06-20,Pyrotek, Inc.,Sand casting mold riser/sprue sleeve
    US5431551A,1993-06-17,1995-07-11,Aquino; Giovanni,Rotary positive displacement device
    US5436210A,1993-02-04,1995-07-25,Molten Metal Technology, Inc.,Method and apparatus for injection of a liquid waste into a molten bath
    US5435982A,1993-03-31,1995-07-25,Molten Metal Technology, Inc.,Method for dissociating waste in a packed bed reactor
    EP0665378A1,1994-01-26,1995-08-02,Le Carbone Lorraine,Centrifugal pump with magnetic drive
    US5443572A,1993-12-03,1995-08-22,Molten Metal Technology, Inc.,Apparatus and method for submerged injection of a feed composition into a molten metal bath
    US5454423A,1993-06-30,1995-10-03,Kubota Corporation,Melt pumping apparatus and casting apparatus
    US5468280A,1991-11-27,1995-11-21,Premelt Pump, Inc.,Molten metal conveying means and method of conveying molten metal from one place to another in a metal-melting furnace with simultaneous degassing of the melt
    US5470201A,1992-06-12,1995-11-28,Metaullics Systems Co., L.P.,Molten metal pump with vaned impeller
    US5484265A,1993-02-09,1996-01-16,Junkalor Gmbh Dessau,Excess temperature and starting safety device in pumps having permanent magnet couplings
    US5491279A,1993-04-02,1996-02-13,Molten Metal Technology, Inc.,Method for top-charging solid waste into a molten metal bath
    US5494382A,1991-03-25,1996-02-27,Amic Industries Limited,Drill bit
    US5495746A,1993-08-30,1996-03-05,Sigworth; Geoffrey K.,Gas analyzer for molten metals
    US5505435A,1990-07-31,1996-04-09,Industrial Maintenance And Contract Services,Slag control method and apparatus
    US5509791A,1994-05-27,1996-04-23,Turner; Ogden L.,Variable delivery pump for molten metal
    US5511766A,1993-02-02,1996-04-30,Usx Corporation,Filtration device
    US5520422A,1994-10-24,1996-05-28,Ameron, Inc.,High-pressure fiber reinforced composite pipe joint
    US5537940A,1993-06-08,1996-07-23,Molten Metal Technology, Inc.,Method for treating organic waste
    US5543558A,1993-12-23,1996-08-06,Molten Metal Technology, Inc.,Method for producing unsaturated organics from organic-containing feeds
    US5555822A,1994-09-06,1996-09-17,Molten Metal Technology, Inc.,Apparatus for dissociating bulk waste in a molten metal bath
    US5558501A,1995-03-03,1996-09-24,Duracraft Corporation,Portable ceiling fan
    US5558505A,1994-08-09,1996-09-24,Metaullics Systems Co., L.P.,Molten metal pump support post and apparatus for removing it from a base
    CA2176475A1,1995-05-12,1996-11-13,Paul V. Cooper,System and device for removing impurities from molten metal
    US5585532A,1991-07-29,1996-12-17,Molten Metal Technology, Inc.,Method for treating a gas formed from a waste in a molten metal bath
    US5591243A,1993-09-10,1997-01-07,Col-Ven S.A.,Liquid trap for compressed air
    US5597289A,1995-03-07,1997-01-28,Thut; Bruno H.,Dynamically balanced pump impeller
    US5613245A,1995-06-07,1997-03-18,Molten Metal Technology, Inc.,Method and apparatus for injecting wastes into a molten bath with an ejector
    US5616167A,1993-07-13,1997-04-01,Eckert; C. Edward,Method for fluxing molten metal
    US5622481A,1994-11-10,1997-04-22,Thut; Bruno H.,Shaft coupling for a molten metal pump
    US5629464A,1993-12-23,1997-05-13,Molten Metal Technology, Inc.,Method for forming unsaturated organics from organic-containing feed by employing a Bronsted acid
    US5634770A,1992-06-12,1997-06-03,Metaullics Systems Co., L.P.,Molten metal pump with vaned impeller
    US5640706A,1993-04-02,1997-06-17,Molten Metal Technology, Inc.,Method and apparatus for producing a product in a regenerator furnace from impure waste containing a non-gasifiable impurity
    US5640707A,1993-12-23,1997-06-17,Molten Metal Technology, Inc.,Method of organic homologation employing organic-containing feeds
    US5655849A,1993-12-17,1997-08-12,Henry Filters Corp.,Couplings for joining shafts
    US5660614A,1994-02-04,1997-08-26,Alcan International Limited,Gas treatment of molten metals
    US5676520A,1995-06-07,1997-10-14,Thut; Bruno H.,Method and apparatus for inhibiting oxidation in pumps for pumping molten metal
    US5678244A,1995-02-14,1997-10-14,Molten Metal Technology, Inc.,Method for capture of chlorine dissociated from a chlorine-containing compound
    US5679132A,1995-06-07,1997-10-21,Molten Metal Technology, Inc.,Method and system for injection of a vaporizable material into a molten bath
    US5678807A,1995-06-13,1997-10-21,Cooper; Paul V.,Rotary degasser
    US5685701A,1995-06-01,1997-11-11,Metaullics Systems Co., L.P.,Bearing arrangement for molten aluminum pumps
    US5690888A,1995-06-07,1997-11-25,Molten Metal Technologies, Inc.,Apparatus and method for tapping a reactor containing a molten fluid
    US5695732A,1995-06-07,1997-12-09,Molten Metal Technology, Inc.,Method for treating a halogenated organic waste to produce halogen gas and carbon oxide gas streams
    US5716195A,1995-02-08,1998-02-10,Thut; Bruno H.,Pumps for pumping molten metal
    US5717149A,1995-06-05,1998-02-10,Molten Metal Technology, Inc.,Method for producing halogenated products from metal halide feeds
    US5718416A,1996-01-30,1998-02-17,Pyrotek, Inc.,Lid and containment vessel for refining molten metal
    WO1998008990A1,1996-08-31,1998-03-05,Kenneth John Allen,Rotary degassing apparatus with rotor grip coupling between impeller rotor and drive shaft
    US5735668A,1996-03-04,1998-04-07,Ansimag Inc.,Axial bearing having independent pads for a centrifugal pump
    US5735935A,1996-11-06,1998-04-07,Premelt Pump, Inc.,Method for use of inert gas bubble-actuated molten metal pump in a well of a metal-melting furnace and the furnace
    US5741422A,1995-09-05,1998-04-21,Metaullics Systems Co., L.P.,Molten metal filter cartridge
    US5744093A,1996-07-04,1998-04-28,Desom Enviromental Systems Limited,Cover for launders
    US5745861A,1996-03-11,1998-04-28,Molten Metal Technology, Inc.,Method for treating mixed radioactive waste
    US5744117A,1993-04-12,1998-04-28,Molten Metal Technology, Inc.,Feed processing employing dispersed molten droplets
    US5755847A,1996-10-01,1998-05-26,Pyrotek, Inc.,Insulator support assembly and pushbar mechanism for handling glass containers
    US5758712A,1994-05-19,1998-06-02,Georg Fischer Disa A/S,Casting device for non-gravity casting of a mould with a light-metal alloy through a bottom inlet in the mould
    CA2244251A1,1996-12-03,1998-06-11,Paul V. Cooper,Molten metal pumping device
    WO1998025031A2,1996-12-03,1998-06-11,Cooper Paul V,Molten metal pumping device
    US5772324A,1995-10-02,1998-06-30,Midwest Instrument Co., Inc.,Protective tube for molten metal immersible thermocouple
    US5776420A,1991-07-29,1998-07-07,Molten Metal Technology, Inc.,Apparatus for treating a gas formed from a waste in a molten metal bath
    US5785494A,1996-04-23,1998-07-28,Metaullics Systems Co., L.P.,Molten metal impeller
    US5805067A,1996-12-30,1998-09-08,At&T Corp,Communication terminal having detector method and apparatus for safe wireless communication
    US5810311A,1995-11-22,1998-09-22,Davison; Edward T.,Holder for vehicle security device
    US5842832A,1996-12-20,1998-12-01,Thut; Bruno H.,Pump for pumping molten metal having cleaning and repair features
    US5846481A                      *,1996-02-14,1998-12-08,Tilak; Ravindra V.,Molten aluminum refining apparatus
    US5858059A,1997-03-24,1999-01-12,Molten Metal Technology, Inc.,Method for injecting feed streams into a molten bath
    US5864316A,1996-12-30,1999-01-26,At&T Corporation,Fixed communication terminal having proximity detector method and apparatus for safe wireless communication
    US5863314A,1995-06-12,1999-01-26,Alphatech, Inc.,Monolithic jet column reactor pump
    US5866095A,1991-07-29,1999-02-02,Molten Metal Technology, Inc.,Method and system of formation and oxidation of dissolved atomic constitutents in a molten bath
    US5875385A,1997-01-15,1999-02-23,Molten Metal Technology, Inc.,Method for the control of the composition and physical properties of solid uranium oxides
    US5935528A,1997-01-14,1999-08-10,Molten Metal Technology, Inc.,Multicomponent fluid feed apparatus with preheater and mixer for a high temperature chemical reactor
    US5948352A,1996-12-05,1999-09-07,General Motors Corporation,Two-chamber furnace for countergravity casting
    US5949369A,1996-12-30,1999-09-07,At & T Corp,,Portable satellite phone having directional antenna for direct link to satellite
    US5947705A,1996-08-07,1999-09-07,Metaullics Systems Co., L.P.,Molten metal transfer pump
    US5951243A,1997-07-03,1999-09-14,Cooper; Paul V.,Rotor bearing system for molten metal pumps
    US5963580A,1997-12-22,1999-10-05,Eckert; C. Edward,High efficiency system for melting molten aluminum
    JPH11270799A,1998-03-23,1999-10-05,Nittoc Constr Co Ltd,Fluid injector
    US5961285A,1996-06-19,1999-10-05,Ak Steel Corporation,Method and apparatus for removing bottom dross from molten zinc during galvannealing or galvanizing
    US5993728A,1996-07-26,1999-11-30,Metaullics Systems Co., L.P.,Gas injection pump
    US5992230A,1997-11-15,1999-11-30,Hoffer Flow Controls, Inc.,Dual rotor flow meter
    US5993726A,1997-04-22,1999-11-30,National Science Council,Manufacture of complex shaped Cr3 C2 /Al2 O3 components by injection molding technique
    US5995041A,1996-12-30,1999-11-30,At&T Corp.,Communication system with direct link to satellite
    US6019576A,1997-09-22,2000-02-01,Thut; Bruno H.,Pumps for pumping molten metal with a stirring action
    US6024286A,1997-10-21,2000-02-15,At&T Corp,Smart card providing a plurality of independently accessible accounts
    US6027685A,1997-10-15,2000-02-22,Cooper; Paul V.,Flow-directing device for molten metal pump
    CA2305865A1,1998-08-11,2000-02-24,Paul V. Cooper,Molten pump with monolithic rotor and rigid coupling
    US6036745A,1997-01-17,2000-03-14,Metaullics Systems Co., L.P.,Molten metal charge well
    US6074455A,1999-01-27,2000-06-13,Metaullics Systems Co., L.P.,Aluminum scrap melting process and apparatus
    US6082965A,1998-08-07,2000-07-04,Alphatech, Inc.,Advanced motor driven impeller pump for moving metal in a bath of molten metal
    US6096109A,1996-01-18,2000-08-01,Molten Metal Technology, Inc.,Chemical component recovery from ligated-metals
    US6113154A,1998-09-15,2000-09-05,Thut; Bruno H.,Immersion heat exchangers
    US6123523A,1998-09-11,2000-09-26,Cooper; Paul V.,Gas-dispersion device
    US6152691A,1999-02-04,2000-11-28,Thut; Bruno H.,Pumps for pumping molten metal
    US6168753B1,1998-08-07,2001-01-02,Alphatech, Inc.,Inert pump leg adapted for immersion in molten metal
    US6187096B1,1999-03-02,2001-02-13,Bruno H. Thut,Spray assembly for molten metal
    US6199836B1,1998-11-24,2001-03-13,Blasch Precision Ceramics, Inc.,Monolithic ceramic gas diffuser for injecting gas into a molten metal bath
    US6217823B1,1998-03-30,2001-04-17,Metaullics Systems Co., L.P.,Metal scrap submergence system
    US6231639B1,1997-03-07,2001-05-15,Metaullics Systems Co., L.P.,Modular filter for molten metal
    US6243366B1,1997-06-20,2001-06-05,At&T Corp.,Method and apparatus for providing interactive two-way communications using a single one-way channel in satellite systems
    US6250881B1,1996-05-22,2001-06-26,Metaullics Systems Co., L.P.,Molten metal shaft and impeller bearing assembly
    US6254340B1,1997-04-23,2001-07-03,Metaullics Systems Co., L.P.,Molten metal impeller
    US6270717B1,1998-03-04,2001-08-07,Les Produits Industriels De Haute Temperature Pyrotek Inc.,Molten metal filtration and distribution device and method for manufacturing the same
    US6280157B1,1999-06-29,2001-08-28,Flowserve Management Company,Sealless integral-motor pump with regenerative impeller disk
    US6293759B1,1999-10-31,2001-09-25,Bruno H. Thut,Die casting pump
    US6303074B1,1999-05-14,2001-10-16,Paul V. Cooper,Mixed flow rotor for molten metal pumping device
    WO2002012147A1,2000-08-04,2002-02-14,Pyrotek Engineering Materials Limited,Refractory components
    US6358467B1,1999-04-09,2002-03-19,Metaullics Systems Co., L.P.,Universal coupling
    US6364930B1,1998-02-11,2002-04-02,Andritz Patentverwaltungsgellschaft Mbh,Process for precipitating compounds from zinc metal baths by means of a hollow rotary body that can be driven about an axis and is dipped into the molten zinc
    US6371723B1,2000-08-17,2002-04-16,Lloyd Grant,System for coupling a shaft to an outer shaft sleeve
    US20020089099A1,2001-01-09,2002-07-11,Scott Denning,Molten metal holding furnace baffle/heater system
    US6439860B1,1999-11-22,2002-08-27,Karl Greer,Chambered vane impeller molten metal pump
    US6451247B1,1998-11-09,2002-09-17,Metaullics Systems Co., L.P.,Shaft and post assemblies for molten metal apparatus
    US6457950B1,2000-05-04,2002-10-01,Flowserve Management Company,Sealless multiphase screw-pump-and-motor package
    US6457940B1,1999-07-23,2002-10-01,Dale T. Lehman,Molten metal pump
    US20020146313A1,2001-04-06,2002-10-10,Thut Bruno H.,Molten metal pump with protected inlet
    US20020185790A1,2001-06-11,2002-12-12,Klingensmith Marshall A.,Molten metal treatment furnace with level control and method
    US20020187947A1,2000-03-06,2002-12-12,Gabor Jarai,Inflammation-related gene
    US6495948B1,1998-03-02,2002-12-17,Pyrotek Enterprises, Inc.,Spark plug
    US6497559B1,2000-03-08,2002-12-24,Pyrotek, Inc.,Molten metal submersible pump system
    US6500228B1,2001-06-11,2002-12-31,Alcoa Inc.,Molten metal dosing furnace with metal treatment and level control and method
    US6524066B2,2001-01-31,2003-02-25,Bruno H. Thut,Impeller for molten metal pump with reduced clogging
    US20030047850A1,2001-09-07,2003-03-13,Areaux Larry D.,Molten metal pump and furnace for use therewith
    US6551060B2,2000-02-01,2003-04-22,Metaullics Systems Co., L.P.,Pump for molten materials with suspended solids
    US20030075844A1,1998-11-09,2003-04-24,Metaullics Systems Co., L.P.,Shaft and post assemblies for molten metal apparatus
    US20030082052A1,2001-10-26,2003-05-01,Gilbert Ronald E.,Impeller system for molten metal pumps
    US6562286B1,2000-03-13,2003-05-13,Dale T. Lehman,Post mounting system and method for molten metal pump
    US20030151176A1,2002-02-14,2003-08-14,Pyrotek Japan Limited,Inline degassing apparatus
    US20030201583A1,2002-04-25,2003-10-30,Klingensmith Marshall A.,Overflow transfer furnace and control system for reduced oxygen production in a casting furnace
    US6648026B2,2000-05-31,2003-11-18,Wyeth,Multi-composition stick product and a process and system for manufacturing the same
    US6679936B2,2002-06-10,2004-01-20,Pyrotek, Inc.,Molten metal degassing apparatus
    US6689310B1,2000-05-12,2004-02-10,Paul V. Cooper,Molten metal degassing device and impellers therefor
    US20040050525A1,2002-09-13,2004-03-18,Kennedy Gordon F.,Molten metal pressure pour furnace and metering vavle
    US6709234B2,2001-08-31,2004-03-23,Pyrotek, Inc.,Impeller shaft assembly system
    US6716147B1,2003-06-16,2004-04-06,Pyrotek, Inc.,Insulated sleeved roll
    WO2004029307A1,2002-09-19,2004-04-08,Hoesch Metallurgie Gmbh,Rotor, device and method for introducing fluids into a molten bath
    US6723276B1,2000-08-28,2004-04-20,Paul V. Cooper,Scrap melter and impeller
    US20040076533A1,2002-07-12,2004-04-22,Cooper Paul V.,Couplings for molten metal devices
    US20040115079A1,2002-07-12,2004-06-17,Cooper Paul V.,Protective coatings for molten metal devices
    US20040199435A1,1999-07-28,2004-10-07,Abrams David Hardin,Method and apparatus for remote location shopping over a computer network
    US6805834B2,2002-09-25,2004-10-19,Bruno H. Thut,Pump for pumping molten metal with expanded piston
    US20050013715A1,2003-07-14,2005-01-20,Cooper Paul V.,System for releasing gas into molten metal
    US20050013714A1,2003-07-14,2005-01-20,Cooper Paul V.,Molten metal pump components
    US20050013713A1,2003-07-14,2005-01-20,Cooper Paul V.,Pump with rotating inlet
    US6848497B2,2003-04-15,2005-02-01,Pyrotek, Inc.,Casting apparatus
    US20050053499A1,2003-07-14,2005-03-10,Cooper Paul V.,Support post system for molten metal pump
    US6869564B2,2002-10-29,2005-03-22,Pyrotek, Inc.,Molten metal pump system
    US6869271B2,2002-10-29,2005-03-22,Pyrotek, Inc.,Molten metal pump system
    US20050077730A1,2003-10-14,2005-04-14,Thut Bruno H.,Quick disconnect/connect shaft coupling
    US20050081607A1,2003-10-17,2005-04-21,Patel Bhalchandra S.,Method and apparatus for testing semisolid materials
    US20050116398A1,2003-11-28,2005-06-02,Les Produits Industriels De Haute Temperature Pyrotek Inc.,Free flowing dry back-up insulating material
    US7056322B2,2002-03-28,2006-06-06,Depuy Orthopaedics, Inc.,Bone fastener targeting and compression/distraction device for an intramedullary nail and method of use
    US7074361B2,2004-03-19,2006-07-11,Foseco International Limited,Ladle
    US20060180963A1,2005-01-27,2006-08-17,Thut Bruno H,Vortexer apparatus
    US7131482B2,1999-08-05,2006-11-07,Pyrotek Engineering Materials Limited,Distributor device for use in metal casting
    US7157043B2,2002-09-13,2007-01-02,Pyrotek, Inc.,Bonded particle filters
    US7204954B2,2000-12-27,2007-04-17,Hoei Shokai Co., Ltd.,Container
    US20070253807A1,2006-04-28,2007-11-01,Cooper Paul V,Gas-transfer foot
    US7326028B2,2005-04-28,2008-02-05,Morando Jorge A,High flow/dual inducer/high efficiency impeller for liquid applications including molten metal
    US20080163999A1,2006-12-19,2008-07-10,Hymas Jason D,Method of and apparatus for conveying molten metals while providing heat thereto
    US20080202644A1,2007-02-23,2008-08-28,Alotech Ltd. Llc,Quiescent transfer of melts
    US20080253905A1,2004-07-07,2008-10-16,Morando Jorge A,Molten Metal Pump
    US20080314548A1,2007-06-21,2008-12-25,Cooper Paul V,Transferring molten metal from one structure to another
    US7476357B2,2004-12-02,2009-01-13,Thut Bruno H,Gas mixing and dispersement in pumps for pumping molten metal
    US7481966B2,2004-07-22,2009-01-27,Hoei Shokai Co., Ltd.,System for supplying molten metal, container and a vehicle
    US7507365B2,2005-03-07,2009-03-24,Thut Bruno H,Multi functional pump for pumping molten metal
    US7543605B1,2008-06-03,2009-06-09,Morando Jorge A,Dual recycling/transfer furnace flow management valve for low melting temperature metals
    US20100104415A1,2008-10-29,2010-04-29,Morando Jorge A,Riserless transfer pump and mixer/pre-melter for molten metal applications
    US7771171B2,2006-12-14,2010-08-10,General Electric Company,Systems for preventing wear on turbine blade tip shrouds
    US20100200354A1,2009-02-12,2010-08-12,Katsuki Yagi,Tapered coupling structure and rotating machine
    US7841379B1,2008-07-18,2010-11-30,Dwight Evans,Method and system for pumping molten metal
    WO2010147932A1,2009-06-16,2010-12-23,Pyrotek, Inc.,Overflow vortex transfer system
    US7896617B1,2008-09-26,2011-03-01,Morando Jorge A,High flow/high efficiency centrifugal pump having a turbine impeller for liquid applications including molten metal
    US20110133374A1,2009-08-07,2011-06-09,Cooper Paul V,Systems and methods for melting scrap metal
    US20110142606A1,2009-08-07,2011-06-16,Cooper Paul V,Quick submergence molten metal pump
    US20110142603A1,2009-09-08,2011-06-16,Cooper Paul V,Molten metal pump filter
    US20110140318A1,2009-12-10,2011-06-16,Reeves Eric W,Molten metal containment structure having flow through ventilation
    US20110140319A1,2007-06-21,2011-06-16,Cooper Paul V,System and method for degassing molten metal
    US20110148012A1,2009-09-09,2011-06-23,Cooper Paul V,Immersion heater for molten metal
    US20110163486A1,2009-08-07,2011-07-07,Cooper Paul V,Rotary degassers and components therefor
    US20110303706A1,2007-06-21,2011-12-15,Cooper Paul V,Launder transfer insert and system
    US20120003099A1,2010-07-02,2012-01-05,Jason Tetkoskie,Molten metal impeller
    US8137023B2,2007-02-14,2012-03-20,Greer Karl E,Coupling assembly for molten metal pump
    US8142145B2,2009-04-21,2012-03-27,Thut Bruno H,Riser clamp for pumps for pumping molten metal
    US20120163959A1,2008-10-29,2012-06-28,Jorge Morando,Riserless recirculation/transfer pump and mixer/pre-melter for molten metal applications
    US8328540B2,2010-03-04,2012-12-11,Li-Chuan Wang,Structural improvement of submersible cooling pump
    US8333921B2,2010-04-27,2012-12-18,Thut Bruno H,Shaft coupling for device for dispersing gas in or pumping molten metal
    JP5112837B2,2007-12-11,2013-01-09,ボッシュ株式会社,Output signal processing method and vehicle operation control device for atmospheric temperature sensor
    US8444911B2,2009-08-07,2013-05-21,Paul V. Cooper,Shaft and post tensioning device
    US8475594B2,2007-04-12,2013-07-02,Pyrotek, Inc.,Galvanizing bath apparatus
    US8480950B2,2007-05-31,2013-07-09,Pyrotek, Inc.,Device and method for obtaining non-ferrous metals
    US20130224038A1,2010-07-02,2013-08-29,Pyrotek, Inc.,Molten metal impeller
    US8535603B2,2009-08-07,2013-09-17,Paul V. Cooper,Rotary degasser and rotor therefor
    US20130292427A1,2010-05-12,2013-11-07,Paul V. Cooper,Vessel transfer insert and system
    US20130292426A1,2007-06-21,2013-11-07,Molten Metal Equipment Innovations, Inc.,Transfer well system and method for making same
    US8580218B2,2009-08-21,2013-11-12,Silicor Materials Inc.,Method of purifying silicon utilizing cascading process
    US20130299525A1,2007-06-21,2013-11-14,Molten Metal Equipment Innnovations, Inc.,Molten metal transfer vessel and method of construction
    US20130299524A1,2007-06-21,2013-11-14,Molten Metal Equipment Innovations, Inc.,Molten metal transfer system and rotor
    US20130306687A1,2007-06-21,2013-11-21,Molten Metal Equipment Innovations, Llc,Molten metal transfer and degassing system
    US20130334744A1,2012-06-14,2013-12-19,Pyrotek Inc.,Receptacle for handling molten metal, casting assembly and manufacturing method
    US20140041252A1,2012-07-31,2014-02-13,Pyrotek, Inc.,Aluminum chip dryers
    US20140044520A1,2011-04-18,2014-02-13,Pyrotek, Inc.,Mold pump assembly
    US20140083253A1,2011-06-07,2014-03-27,Pyrotek, Inc.,Flux injection assembly and method
    WO2014055082A1,2012-10-04,2014-04-10,Pyrotek,Composite casting wheels
    US20140210144A1,2013-01-31,2014-07-31,Pyrotek,Composite degassing tube
    US20140232048A1,2011-07-07,2014-08-21,Pyrotek, Inc.,Scrap submergence system
    US20140261800A1,2013-03-15,2014-09-18,Paul V. Cooper,Transfer pump launder system
    US20140271219A1,2013-03-13,2014-09-18,Paul V. Cooper,Molten metal rotor with hardened top
    US20140263482A1,2013-03-14,2014-09-18,Paul V. Cooper,Ladle with transfer conduit
    US20140265068A1,2013-03-15,2014-09-18,Paul V. Cooper,System and method for component maintenance
    US8840359B2,2010-10-13,2014-09-23,The United States Of America, As Represented By The Secretary Of The Navy,Thermally insulating turbine coupling
    WO2014150503A1,2013-03-15,2014-09-25,Pyrotek,Ceramic filters
    WO2014185971A2,2013-05-14,2014-11-20,Pyrotek, Inc.,Overflow molten metal transfer pump with gas and flux introduction
    US20140363309A1,2013-06-07,2014-12-11,Pyrotek, Inc,,Emergency molten metal pump out
    US8915830B2,2009-03-24,2014-12-23,Pyrotek, Inc.,Quick change conveyor roll sleeve assembly and method
    US8920680B2,2010-04-08,2014-12-30,Pyrotek, Inc.,Methods of preparing carbonaceous material
    US20150069679A1,2012-04-16,2015-03-12,Pyrotek, Inc.,Molten metal scrap submergence apparatus
    CA2924572A1,2013-09-27,2015-04-02,Rio Tinto Alcan International Limited,Dual-function impeller for a rotary injector
    US9057376B2,2013-06-13,2015-06-16,Bruno H. Thut,Tube pump for transferring molten metal while preventing overflow
    US20150184311A1,2012-06-25,2015-07-02,Silicor Materials Inc.,Lining for surfaces of a refractory crucible for purification of silicon melt and method of purification of the silicon melt using that crucible(s) for melting and further directional solidification
    US9074601B1,2014-01-16,2015-07-07,Bruno Thut,Pump for pumping molten metal with reduced dross formation in a bath of molten metal
    US9108224B2,2011-09-28,2015-08-18,Siemens Aktiengesellschaft,Sorting installation and sorting method for jointly sorting different kinds of articles
    US9234520B2,2008-10-29,2016-01-12,Pyrotek, Inc.,Riserless transfer pump and mixer/pre-melter for molten metal applications
    US20160053814A1,2014-07-02,2016-02-25,Paul V. Cooper,Coupling and rotor shaft for molten metal devices
